V,I(365),I(405),I(436),I(486),I(546),I(577),I(589),I(656),656 Chop
-3.63,-1.64955E-10,-1.99707E-10,-2.57666E-10,-1.45122E-11,-1.69082E-10,-7.42079E-11,-3.35088E-11,-1.32367E-12,-1.32367E-12
-3.62,-1.64582E-10,-1.98566E-10,-2.55726E-10,-1.44915E-11,-1.68895E-10,-7.43918E-11,-3.38009E-11,-1.39878E-12,-1.39878E-12
-3.61,-1.63227E-10,-1.98287E-10,-2.56271E-10,-1.47125E-11,-1.69006E-10,-7.42641E-11,-3.35774E-11,-1.50644E-12,-1.50644E-12
-3.6,-1.63528E-10,-1.99683E-10,-2.57472E-10,-1.50054E-11,-1.69004E-10,-7.40492E-11,-3.33263E-11,-1.78071E-12,-1.78071E-12
-3.59,-1.63898E-10,-2.00562E-10,-2.58405E-10,-1.46456E-11,-1.68777E-10,-7.40001E-11,-3.34198E-11,-1.51524E-12,-1.51524E-12
-3.58,-1.62948E-10,-2.00198E-10,-2.57341E-10,-1.4331E-11,-1.68163E-10,-7.41278E-11,-3.34266E-11,-1.17548E-12,-1.17548E-12
-3.57,-1.62246E-10,-1.99343E-10,-2.56356E-10,-1.43589E-11,-1.68139E-10,-7.38624E-11,-3.3237E-11,-1.10876E-12,-1.10876E-12
-3.56,-1.62134E-10,-1.97969E-10,-2.57424E-10,-1.44432E-11,-1.68775E-10,-7.37604E-11,-3.30362E-11,-1.51647E-12,-1.51647E-12
-3.55,-1.62928E-10,-1.98484E-10,-2.5834E-10,-1.4629E-11,-1.6901E-10,-7.38343E-11,-3.29386E-11,-1.62372E-12,-1.62372E-12
-3.54,-1.6292E-10,-1.99095E-10,-2.57682E-10,-1.44698E-11,-1.68862E-10,-7.39551E-11,-3.34536E-11,-1.51115E-12,-1.51115E-12
-3.53,-1.64024E-10,-1.99978E-10,-2.54783E-10,-1.41022E-11,-1.68575E-10,-7.39348E-11,-3.3579E-11,-1.19186E-12,-1.19186E-12
-3.52,-1.63668E-10,-1.99193E-10,-2.55026E-10,-1.39673E-11,-1.68622E-10,-7.41466E-11,-3.34963E-11,-1.40758E-12,-1.40758E-12
-3.51,-1.64166E-10,-1.97054E-10,-2.55375E-10,-1.41802E-11,-1.68326E-10,-7.38806E-11,-3.32694E-11,-1.58831E-12,-1.58831E-12
-3.5,-1.64848E-10,-1.97044E-10,-2.56935E-10,-1.48837E-11,-1.67609E-10,-7.3732E-11,-3.29689E-11,-1.67325E-12,-1.67325E-12
-3.49,-1.63039E-10,-1.98328E-10,-2.56418E-10,-1.45433E-11,-1.67425E-10,-7.40306E-11,-3.31236E-11,-1.19247E-12,-1.19247E-12
-3.48,-1.61723E-10,-1.98887E-10,-2.56187E-10,-1.42672E-11,-1.6734E-10,-7.31971E-11,-3.3316E-11,-1.26063E-12,-1.26063E-12
-3.47,-1.61951E-10,-1.98823E-10,-2.5586E-10,-1.37422E-11,-1.67603E-10,-7.33441E-11,-3.3271E-11,-1.50358E-12,-1.50358E-12
-3.46,-1.62762E-10,-1.97311E-10,-2.54709E-10,-1.39464E-11,-1.67809E-10,-7.33851E-11,-3.33584E-11,-1.35253E-12,-1.35253E-12
-3.45,-1.63233E-10,-1.9808E-10,-2.56373E-10,-1.47209E-11,-1.67678E-10,-7.30866E-11,-3.29982E-11,-1.20168E-12,-1.20168E-12
