X (Second),CH1 (Volt),CH2 (Volt),
-5.11762e+00,-2.32e+00,-1.84e+00,
-5.11760e+00,-2.32e+00,-1.76e+00,
-5.11758e+00,-2.32e+00,-1.84e+00,
-5.11756e+00,-2.32e+00,-1.84e+00,
-5.11754e+00,-2.40e+00,-1.84e+00,
-5.11752e+00,-2.40e+00,-1.84e+00,
-5.11750e+00,-2.32e+00,-1.84e+00,
-5.11748e+00,-2.32e+00,-1.76e+00,
-5.11746e+00,-2.32e+00,-1.76e+00,
-5.11744e+00,-2.40e+00,-1.84e+00,
-5.11742e+00,-2.32e+00,-1.84e+00,
-5.11740e+00,-2.32e+00,-1.84e+00,
-5.11738e+00,-2.32e+00,-1.84e+00,
-5.11736e+00,-2.32e+00,-1.84e+00,
-5.11734e+00,-2.40e+00,-1.84e+00,
-5.11732e+00,-2.32e+00,-1.76e+00,
-5.11730e+00,-2.32e+00,-1.84e+00,
-5.11729e+00,-2.32e+00,-1.84e+00,
-5.11727e+00,-2.32e+00,-1.84e+00,
-5.11725e+00,-2.32e+00,-1.76e+00,
-5.11723e+00,-2.32e+00,-1.84e+00,
-5.11721e+00,-2.32e+00,-1.84e+00,
-5.11719e+00,-2.32e+00,-1.76e+00,
-5.11717e+00,-2.32e+00,-1.84e+00,
-5.11715e+00,-2.32e+00,-1.84e+00,
-5.11713e+00,-2.32e+00,-1.84e+00,
-5.11711e+00,-2.32e+00,-1.76e+00,
-5.11709e+00,-2.32e+00,-1.84e+00,
-5.11707e+00,-2.32e+00,-1.84e+00,
-5.11705e+00,-2.32e+00,-1.76e+00,
-5.11703e+00,-2.32e+00,-1.84e+00,
-5.11701e+00,-2.32e+00,-1.76e+00,
-5.11699e+00,-2.32e+00,-1.84e+00,
-5.11697e+00,-2.32e+00,-1.84e+00,
-5.11695e+00,-2.32e+00,-1.76e+00,
-5.11693e+00,-2.32e+00,-1.84e+00,
-5.11691e+00,-2.32e+00,-1.76e+00,
-5.11689e+00,-2.32e+00,-1.84e+00,
-5.11687e+00,-2.32e+00,-1.84e+00,
-5.11686e+00,-2.32e+00,-1.76e+00,
-5.11684e+00,-2.32e+00,-1.84e+00,
-5.11682e+00,-2.32e+00,-1.84e+00,
-5.11680e+00,-2.32e+00,-1.84e+00,
-5.11678e+00,-2.32e+00,-1.84e+00,
-5.11676e+00,-2.32e+00,-1.84e+00,
-5.11674e+00,-2.32e+00,-1.84e+00,
-5.11672e+00,-2.32e+00,-1.76e+00,
-5.11670e+00,-2.32e+00,-1.76e+00,
-5.11668e+00,-2.32e+00,-1.76e+00,
-5.11666e+00,-2.32e+00,-1.84e+00,
-5.11664e+00,-2.32e+00,-1.76e+00,
-5.11662e+00,-2.32e+00,-1.84e+00,
-5.11660e+00,-2.32e+00,-1.76e+00,
-5.11658e+00,-2.32e+00,-1.76e+00,
-5.11656e+00,-2.32e+00,-1.84e+00,
-5.11654e+00,-2.32e+00,-1.84e+00,
-5.11652e+00,-2.32e+00,-1.84e+00,
-5.11650e+00,-2.32e+00,-1.76e+00,
-5.11648e+00,-2.32e+00,-1.76e+00,
-5.11646e+00,-2.32e+00,-1.84e+00,
-5.11645e+00,-2.32e+00,-1.84e+00,
-5.11643e+00,-2.32e+00,-1.84e+00,
-5.11641e+00,-2.32e+00,-1.76e+00,
-5.11639e+00,-2.32e+00,-1.84e+00,
-5.11637e+00,-2.40e+00,-1.76e+00,
-5.11635e+00,-2.32e+00,-1.76e+00,
-5.11633e+00,-2.32e+00,-1.84e+00,
-5.11631e+00,-2.32e+00,-1.84e+00,
-5.11629e+00,-2.32e+00,-1.84e+00,
-5.11627e+00,-2.40e+00,-1.76e+00,
-5.11625e+00,-2.32e+00,-1.84e+00,
-5.11623e+00,-2.32e+00,-1.76e+00,
-5.11621e+00,-2.32e+00,-1.76e+00,
-5.11619e+00,-2.32e+00,-1.76e+00,
-5.11617e+00,-2.32e+00,-1.76e+00,
-5.11615e+00,-2.32e+00,-1.84e+00,
-5.11613e+00,-2.32e+00,-1.76e+00,
-5.11611e+00,-2.32e+00,-1.76e+00,
-5.11609e+00,-2.32e+00,-1.84e+00,
-5.11607e+00,-2.32e+00,-1.84e+00,
-5.11605e+00,-2.32e+00,-1.76e+00,
-5.11603e+00,-2.32e+00,-1.84e+00,
-5.11602e+00,-2.32e+00,-1.84e+00,
-5.11600e+00,-2.32e+00,-1.84e+00,
-5.11598e+00,-2.32e+00,-1.76e+00,
-5.11596e+00,-2.32e+00,-1.84e+00,
-5.11594e+00,-2.32e+00,-1.76e+00,
-5.11592e+00,-2.32e+00,-1.76e+00,
-5.11590e+00,-2.32e+00,-1.84e+00,
-5.11588e+00,-2.32e+00,-1.76e+00,
-5.11586e+00,-2.32e+00,-1.84e+00,
-5.11584e+00,-2.32e+00,-1.84e+00,
-5.11582e+00,-2.32e+00,-1.84e+00,
-5.11580e+00,-2.32e+00,-1.76e+00,
-5.11578e+00,-2.32e+00,-1.84e+00,
-5.11576e+00,-2.32e+00,-1.76e+00,
-5.11574e+00,-2.32e+00,-1.84e+00,
-5.11572e+00,-2.32e+00,-1.76e+00,
-5.11570e+00,-2.32e+00,-1.84e+00,
-5.11568e+00,-2.32e+00,-1.84e+00,
-5.11566e+00,-2.32e+00,-1.84e+00,
-5.11564e+00,-2.32e+00,-1.76e+00,
-5.11562e+00,-2.32e+00,-1.76e+00,
-5.11561e+00,-2.32e+00,-1.84e+00,
-5.11559e+00,-2.32e+00,-1.84e+00,
-5.11557e+00,-2.32e+00,-1.84e+00,
-5.11555e+00,-2.32e+00,-1.84e+00,
-5.11553e+00,-2.32e+00,-1.76e+00,
-5.11551e+00,-2.32e+00,-1.84e+00,
-5.11549e+00,-2.40e+00,-1.76e+00,
-5.11547e+00,-2.32e+00,-1.76e+00,
-5.11545e+00,-2.32e+00,-1.76e+00,
-5.11543e+00,-2.32e+00,-1.84e+00,
-5.11541e+00,-2.32e+00,-1.76e+00,
-5.11539e+00,-2.32e+00,-1.84e+00,
-5.11537e+00,-2.32e+00,-1.84e+00,
-5.11535e+00,-2.32e+00,-1.84e+00,
-5.11533e+00,-2.32e+00,-1.84e+00,
-5.11531e+00,-2.32e+00,-1.84e+00,
-5.11529e+00,-2.32e+00,-1.84e+00,
-5.11527e+00,-2.32e+00,-1.76e+00,
-5.11525e+00,-2.32e+00,-1.76e+00,
-5.11523e+00,-2.32e+00,-1.76e+00,
-5.11521e+00,-2.32e+00,-1.84e+00,
-5.11520e+00,-2.32e+00,-1.84e+00,
-5.11518e+00,-2.32e+00,-1.84e+00,
-5.11516e+00,-2.32e+00,-1.84e+00,
-5.11514e+00,-2.32e+00,-1.84e+00,
-5.11512e+00,-2.32e+00,-1.76e+00,
-5.11510e+00,-2.32e+00,-1.84e+00,
-5.11508e+00,-2.32e+00,-1.84e+00,
-5.11506e+00,-2.32e+00,-1.84e+00,
-5.11504e+00,-2.32e+00,-1.84e+00,
-5.11502e+00,-2.32e+00,-1.76e+00,
-5.11500e+00,-2.32e+00,-1.84e+00,
-5.11498e+00,-2.32e+00,-1.84e+00,
-5.11496e+00,-2.32e+00,-1.76e+00,
-5.11494e+00,-2.32e+00,-1.84e+00,
-5.11492e+00,-2.32e+00,-1.84e+00,
-5.11490e+00,-2.32e+00,-1.84e+00,
-5.11488e+00,-2.32e+00,-1.76e+00,
-5.11486e+00,-2.32e+00,-1.76e+00,
-5.11484e+00,-2.32e+00,-1.84e+00,
-5.11482e+00,-2.32e+00,-1.76e+00,
-5.11480e+00,-2.32e+00,-1.76e+00,
-5.11479e+00,-2.40e+00,-1.84e+00,
-5.11477e+00,-2.32e+00,-1.84e+00,
-5.11475e+00,-2.32e+00,-1.76e+00,
-5.11473e+00,-2.32e+00,-1.84e+00,
-5.11471e+00,-2.40e+00,-1.84e+00,
-5.11469e+00,-2.32e+00,-1.84e+00,
-5.11467e+00,-2.32e+00,-1.76e+00,
-5.11465e+00,-2.32e+00,-1.84e+00,
-5.11463e+00,-2.32e+00,-1.84e+00,
-5.11461e+00,-2.32e+00,-1.76e+00,
-5.11459e+00,-2.32e+00,-1.84e+00,
-5.11457e+00,-2.32e+00,-1.76e+00,
-5.11455e+00,-2.32e+00,-1.84e+00,
-5.11453e+00,-2.32e+00,-1.84e+00,
-5.11451e+00,-2.32e+00,-1.84e+00,
-5.11449e+00,-2.32e+00,-1.84e+00,
-5.11447e+00,-2.32e+00,-1.76e+00,
-5.11445e+00,-2.32e+00,-1.84e+00,
-5.11443e+00,-2.32e+00,-1.84e+00,
-5.11441e+00,-2.32e+00,-1.76e+00,
-5.11439e+00,-2.32e+00,-1.76e+00,
-5.11438e+00,-2.32e+00,-1.84e+00,
-5.11436e+00,-2.32e+00,-1.84e+00,
-5.11434e+00,-2.32e+00,-1.84e+00,
-5.11432e+00,-2.32e+00,-1.84e+00,
-5.11430e+00,-2.32e+00,-1.84e+00,
-5.11428e+00,-2.32e+00,-1.76e+00,
-5.11426e+00,-2.32e+00,-1.76e+00,
-5.11424e+00,-2.32e+00,-1.84e+00,
-5.11422e+00,-2.32e+00,-1.76e+00,
-5.11420e+00,-2.32e+00,-1.84e+00,
-5.11418e+00,-2.40e+00,-1.84e+00,
-5.11416e+00,-2.32e+00,-1.84e+00,
-5.11414e+00,-2.32e+00,-1.84e+00,
-5.11412e+00,-2.32e+00,-1.84e+00,
-5.11410e+00,-2.32e+00,-1.76e+00,
-5.11408e+00,-2.32e+00,-1.76e+00,
-5.11406e+00,-2.32e+00,-1.84e+00,
-5.11404e+00,-2.32e+00,-1.84e+00,
-5.11402e+00,-2.32e+00,-1.76e+00,
-5.11400e+00,-2.32e+00,-1.84e+00,
-5.11398e+00,-2.32e+00,-1.84e+00,
-5.11396e+00,-2.32e+00,-1.76e+00,
-5.11395e+00,-2.32e+00,-1.84e+00,
-5.11393e+00,-2.32e+00,-1.84e+00,
-5.11391e+00,-2.32e+00,-1.76e+00,
-5.11389e+00,-2.32e+00,-1.84e+00,
-5.11387e+00,-2.32e+00,-1.76e+00,
-5.11385e+00,-2.32e+00,-1.84e+00,
-5.11383e+00,-2.32e+00,-1.76e+00,
-5.11381e+00,-2.32e+00,-1.84e+00,
-5.11379e+00,-2.32e+00,-1.84e+00,
-5.11377e+00,-2.32e+00,-1.76e+00,
-5.11375e+00,-2.32e+00,-1.76e+00,
-5.11373e+00,-2.32e+00,-1.76e+00,
-5.11371e+00,-2.40e+00,-1.76e+00,
-5.11369e+00,-2.32e+00,-1.84e+00,
-5.11367e+00,-2.32e+00,-1.76e+00,
-5.11365e+00,-2.32e+00,-1.76e+00,
-5.11363e+00,-2.32e+00,-1.84e+00,
-5.11361e+00,-2.32e+00,-1.84e+00,
-5.11359e+00,-2.32e+00,-1.84e+00,
