#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:21:38
# Real time (s): 666.250
# Live time (s): 666.000
#
# Total counts:  40601
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  2186
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
222	428.241	58	0.0870871
223	430.283	60	0.0900901
224	432.325	60	0.0900901
225	434.367	67	0.100601
226	436.409	53	0.0795796
227	438.452	68	0.102102
228	440.494	64	0.0960961
229	442.536	57	0.0855856
230	444.578	55	0.0825826
231	446.620	70	0.105105
232	448.662	62	0.0930931
233	450.705	73	0.10961
234	452.747	65	0.0975976
235	454.789	56	0.0840841
236	456.831	52	0.0780781
237	458.873	66	0.0990991
238	460.916	54	0.0810811
239	462.958	48	0.0720721
240	465.000	52	0.0780781
241	467.042	43	0.0645646
242	469.084	68	0.102102
243	471.126	66	0.0990991
244	473.169	48	0.0720721
245	475.211	59	0.0885886
246	477.253	45	0.0675676
247	479.295	56	0.0840841
248	481.337	71	0.106607
249	483.379	56	0.0840841
250	485.422	61	0.0915916
251	487.464	62	0.0930931
252	489.506	61	0.0915916
253	491.548	65	0.0975976
254	493.590	54	0.0810811
255	495.632	57	0.0855856
256	497.675	66	0.0990991
257	499.717	64	0.0960961
258	501.759	59	0.0885886
259	503.801	67	0.100601
260	505.843	64	0.0960961
261	507.885	58	0.0870871
262	509.928	61	0.0915916
263	511.970	56	0.0840841
264	514.012	60	0.0900901
265	516.054	64	0.0960961
266	518.096	66	0.0990991
267	520.138	59	0.0885886
268	522.181	65	0.0975976
269	524.223	61	0.0915916
270	526.265	62	0.0930931
271	528.307	54	0.0810811
272	530.349	60	0.0900901
273	532.391	63	0.0945946
274	534.434	51	0.0765766
275	536.476	46	0.0690691
276	538.518	55	0.0825826
277	540.560	59	0.0885886
278	542.602	56	0.0840841
279	544.644	55	0.0825826
280	546.687	57	0.0855856
281	548.729	49	0.0735736
282	550.771	49	0.0735736
283	552.813	54	0.0810811
284	554.855	70	0.105105
285	556.897	62	0.0930931
286	558.940	69	0.103604
287	560.982	57	0.0855856
288	563.024	51	0.0765766
289	565.066	60	0.0900901
290	567.108	43	0.0645646
291	569.150	53	0.0795796
292	571.193	55	0.0825826
293	573.235	62	0.0930931
294	575.277	44	0.0660661
295	577.319	49	0.0735736
296	579.361	48	0.0720721
297	581.403	52	0.0780781
298	583.446	53	0.0795796
299	585.488	57	0.0855856
300	587.530	61	0.0915916
301	589.572	54	0.0810811
302	591.614	48	0.0720721
303	593.656	66	0.0990991
304	595.699	52	0.0780781
305	597.741	51	0.0765766
306	599.783	55	0.0825826
307	601.825	66	0.0990991
308	603.867	66	0.0990991
309	605.909	51	0.0765766
310	607.952	63	0.0945946
311	609.994	58	0.0870871
312	612.036	60	0.0900901
313	614.078	58	0.0870871
314	616.120	54	0.0810811
315	618.162	53	0.0795796
316	620.205	55	0.0825826
317	622.247	43	0.0645646
318	624.289	70	0.105105
319	626.331	61	0.0915916
320	628.373	70	0.105105
321	630.415	60	0.0900901
322	632.458	44	0.0660661
323	634.500	61	0.0915916
324	636.542	52	0.0780781
325	638.584	40	0.0600601
326	640.626	52	0.0780781
327	642.668	65	0.0975976
328	644.711	63	0.0945946
329	646.753	65	0.0975976
330	648.795	55	0.0825826
331	650.837	68	0.102102
332	652.879	62	0.0930931
333	654.921	56	0.0840841
334	656.964	72	0.108108
335	659.006	66	0.0990991
336	661.048	61	0.0915916
337	663.090	76	0.114114
338	665.132	70	0.105105
339	667.174	66	0.0990991
340	669.217	73	0.10961
341	671.259	57	0.0855856
342	673.301	67	0.100601
343	675.343	59	0.0885886
344	677.385	76	0.114114
345	679.427	64	0.0960961
346	681.470	71	0.106607
347	683.512	45	0.0675676
348	685.554	67	0.100601
349	687.596	58	0.0870871
350	689.638	66	0.0990991
351	691.680	60	0.0900901
352	693.723	57	0.0855856
353	695.765	69	0.103604
354	697.807	60	0.0900901
355	699.849	65	0.0975976
356	701.891	74	0.111111
357	703.933	63	0.0945946
358	705.976	62	0.0930931
359	708.018	62	0.0930931
360	710.060	83	0.124625
361	712.102	73	0.10961
362	714.144	68	0.102102
363	716.186	66	0.0990991
364	718.229	54	0.0810811
365	720.271	73	0.10961
366	722.313	73	0.10961
367	724.355	60	0.0900901
368	726.397	74	0.111111
369	728.439	66	0.0990991
370	730.482	55	0.0825826
371	732.524	55	0.0825826
372	734.566	57	0.0855856
373	736.608	80	0.12012
374	738.650	63	0.0945946
375	740.692	54	0.0810811
376	742.735	72	0.108108
377	744.777	58	0.0870871
378	746.819	75	0.112613
379	748.861	76	0.114114
380	750.903	72	0.108108
381	752.945	77	0.115616
382	754.988	78	0.117117
383	757.030	71	0.106607
384	759.072	51	0.0765766
385	761.114	50	0.0750751
386	763.156	55	0.0825826
387	765.198	71	0.106607
388	767.241	56	0.0840841
389	769.283	49	0.0735736
390	771.325	56	0.0840841
391	773.367	54	0.0810811
392	775.409	65	0.0975976
393	777.451	56	0.0840841
394	779.494	57	0.0855856
395	781.536	44	0.0660661
396	783.578	49	0.0735736
397	785.620	41	0.0615616
398	787.662	31	0.0465465
399	789.704	35	0.0525526
400	791.747	41	0.0615616
401	793.789	32	0.048048
402	795.831	51	0.0765766
403	797.873	37	0.0555556
404	799.915	40	0.0600601
405	801.957	36	0.0540541
406	804.000	34	0.0510511
407	806.042	43	0.0645646
408	808.084	26	0.039039
409	810.126	34	0.0510511
410	812.168	33	0.0495495
411	814.210	30	0.045045
412	816.253	15	0.0225225
413	818.295	24	0.036036
414	820.337	26	0.039039
415	822.379	25	0.0375375
416	824.421	32	0.048048
417	826.463	22	0.033033
418	828.506	28	0.042042
419	830.548	19	0.0285285
420	832.590	23	0.0345345
421	834.632	19	0.0285285
422	836.674	19	0.0285285
423	838.716	28	0.042042
424	840.759	22	0.033033
425	842.801	22	0.033033
426	844.843	24	0.036036
427	846.885	24	0.036036
428	848.927	18	0.027027
429	850.969	21	0.0315315
430	853.012	18	0.027027
431	855.054	12	0.018018
432	857.096	16	0.024024
433	859.138	19	0.0285285
434	861.180	16	0.024024
435	863.222	18	0.027027
436	865.265	14	0.021021
437	867.307	24	0.036036
438	869.349	16	0.024024
439	871.391	18	0.027027
440	873.433	22	0.033033
441	875.475	12	0.018018
