#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:48:02
# Real time (s): 300.129
# Live time (s): 300.000
#
# Total counts:  30417
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  155
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
222	428.241	3	0.01
223	430.283	2	0.00666667
224	432.325	7	0.0233333
225	434.367	6	0.02
226	436.409	3	0.01
227	438.452	8	0.0266667
228	440.494	4	0.0133333
229	442.536	7	0.0233333
230	444.578	4	0.0133333
231	446.620	6	0.02
232	448.662	3	0.01
233	450.705	5	0.0166667
234	452.747	8	0.0266667
235	454.789	7	0.0233333
236	456.831	9	0.03
237	458.873	7	0.0233333
238	460.916	2	0.00666667
239	462.958	5	0.0166667
240	465.000	3	0.01
241	467.042	2	0.00666667
242	469.084	8	0.0266667
243	471.126	6	0.02
244	473.169	4	0.0133333
245	475.211	9	0.03
246	477.253	4	0.0133333
247	479.295	6	0.02
248	481.337	5	0.0166667
249	483.379	6	0.02
250	485.422	0	0
251	487.464	9	0.03
252	489.506	6	0.02
253	491.548	4	0.0133333
254	493.590	4	0.0133333
255	495.632	6	0.02
256	497.675	1	0.00333333
257	499.717	1	0.00333333
258	501.759	7	0.0233333
259	503.801	5	0.0166667
260	505.843	7	0.0233333
261	507.885	1	0.00333333
262	509.928	6	0.02
263	511.970	2	0.00666667
264	514.012	1	0.00333333
265	516.054	3	0.01
266	518.096	5	0.0166667
267	520.138	3	0.01
268	522.181	3	0.01
269	524.223	4	0.0133333
270	526.265	4	0.0133333
271	528.307	2	0.00666667
272	530.349	4	0.0133333
273	532.391	5	0.0166667
274	534.434	2	0.00666667
275	536.476	2	0.00666667
276	538.518	3	0.01
277	540.560	5	0.0166667
278	542.602	3	0.01
279	544.644	2	0.00666667
280	546.687	6	0.02
281	548.729	3	0.01
282	550.771	4	0.0133333
283	552.813	4	0.0133333
284	554.855	6	0.02
285	556.897	11	0.0366667
286	558.940	5	0.0166667
287	560.982	3	0.01
288	563.024	3	0.01
289	565.066	1	0.00333333
290	567.108	3	0.01
291	569.150	5	0.0166667
292	571.193	3	0.01
293	573.235	5	0.0166667
294	575.277	2	0.00666667
295	577.319	1	0.00333333
296	579.361	3	0.01
297	581.403	0	0
298	583.446	4	0.0133333
299	585.488	5	0.0166667
300	587.530	4	0.0133333
301	589.572	2	0.00666667
302	591.614	2	0.00666667
303	593.656	5	0.0166667
304	595.699	4	0.0133333
305	597.741	10	0.0333333
306	599.783	4	0.0133333
307	601.825	5	0.0166667
308	603.867	4	0.0133333
309	605.909	4	0.0133333
310	607.952	5	0.0166667
311	609.994	6	0.02
312	612.036	2	0.00666667
313	614.078	3	0.01
314	616.120	7	0.0233333
315	618.162	3	0.01
316	620.205	5	0.0166667
317	622.247	2	0.00666667
318	624.289	3	0.01
319	626.331	8	0.0266667
320	628.373	4	0.0133333
321	630.415	5	0.0166667
322	632.458	5	0.0166667
323	634.500	4	0.0133333
324	636.542	5	0.0166667
325	638.584	7	0.0233333
326	640.626	4	0.0133333
327	642.668	3	0.01
328	644.711	2	0.00666667
329	646.753	2	0.00666667
330	648.795	5	0.0166667
331	650.837	3	0.01
332	652.879	5	0.0166667
333	654.921	6	0.02
334	656.964	7	0.0233333
335	659.006	3	0.01
336	661.048	5	0.0166667
337	663.090	4	0.0133333
338	665.132	3	0.01
339	667.174	2	0.00666667
340	669.217	4	0.0133333
341	671.259	3	0.01
342	673.301	5	0.0166667
343	675.343	3	0.01
344	677.385	5	0.0166667
345	679.427	2	0.00666667
346	681.470	1	0.00333333
347	683.512	4	0.0133333
348	685.554	4	0.0133333
349	687.596	4	0.0133333
350	689.638	0	0
351	691.680	3	0.01
352	693.723	4	0.0133333
353	695.765	2	0.00666667
354	697.807	1	0.00333333
355	699.849	0	0
356	701.891	1	0.00333333
357	703.933	5	0.0166667
358	705.976	2	0.00666667
359	708.018	1	0.00333333
360	710.060	2	0.00666667
361	712.102	1	0.00333333
362	714.144	1	0.00333333
363	716.186	1	0.00333333
364	718.229	2	0.00666667
365	720.271	5	0.0166667
366	722.313	1	0.00333333
367	724.355	3	0.01
368	726.397	4	0.0133333
369	728.439	2	0.00666667
370	730.482	3	0.01
371	732.524	4	0.0133333
372	734.566	4	0.0133333
373	736.608	2	0.00666667
374	738.650	2	0.00666667
375	740.692	3	0.01
376	742.735	1	0.00333333
377	744.777	4	0.0133333
378	746.819	2	0.00666667
379	748.861	4	0.0133333
380	750.903	1	0.00333333
381	752.945	1	0.00333333
382	754.988	4	0.0133333
383	757.030	3	0.01
384	759.072	4	0.0133333
385	761.114	3	0.01
386	763.156	4	0.0133333
387	765.198	1	0.00333333
388	767.241	5	0.0166667
389	769.283	2	0.00666667
390	771.325	1	0.00333333
391	773.367	4	0.0133333
392	775.409	0	0
393	777.451	1	0.00333333
394	779.494	3	0.01
395	781.536	2	0.00666667
396	783.578	1	0.00333333
397	785.620	4	0.0133333
398	787.662	4	0.0133333
399	789.704	3	0.01
400	791.747	1	0.00333333
401	793.789	3	0.01
402	795.831	2	0.00666667
403	797.873	3	0.01
404	799.915	10	0.0333333
405	801.957	6	0.02
406	804.000	1	0.00333333
407	806.042	1	0.00333333
408	808.084	5	0.0166667
409	810.126	5	0.0166667
410	812.168	6	0.02
411	814.210	6	0.02
412	816.253	2	0.00666667
413	818.295	3	0.01
414	820.337	4	0.0133333
415	822.379	3	0.01
416	824.421	4	0.0133333
417	826.463	3	0.01
418	828.506	4	0.0133333
419	830.548	1	0.00333333
420	832.590	6	0.02
421	834.632	4	0.0133333
422	836.674	4	0.0133333
423	838.716	6	0.02
424	840.759	4	0.0133333
425	842.801	8	0.0266667
426	844.843	4	0.0133333
427	846.885	3	0.01
428	848.927	3	0.01
429	850.969	8	0.0266667
430	853.012	3	0.01
431	855.054	3	0.01
432	857.096	5	0.0166667
433	859.138	3	0.01
434	861.180	2	0.00666667
435	863.222	0	0
436	865.265	3	0.01
437	867.307	3	0.01
438	869.349	2	0.00666667
439	871.391	2	0.00666667
440	873.433	3	0.01
441	875.475	2	0.00666667
442	877.518	4	0.0133333
443	879.560	3	0.01
444	881.602	3	0.01
445	883.644	3	0.01
446	885.686	2	0.00666667
447	887.728	1	0.00333333
448	889.771	1	0.00333333
449	891.813	3	0.01
450	893.855	3	0.01
451	895.897	1	0.00333333
452	897.939	0	0
453	899.981	3	0.01
454	902.024	0	0
455	904.066	2	0.00666667
456	906.108	2	0.00666667
457	908.150	0	0
458	910.192	4	0.0133333
459	912.235	3	0.01
460	914.277	3	0.01
461	916.319	2	0.00666667
462	918.361	2	0.00666667
463	920.403	0	0
464	922.445	1	0.00333333
465	924.488	2	0.00666667
466	926.530	1	0.00333333
