#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:40:17
# Real time (s): 307.960
# Live time (s): 300.000
#
# Total counts:  1222569
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  45919
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
217	418.030	1477	4.92333
218	420.072	1330	4.43333
219	422.114	1373	4.57667
220	424.156	1393	4.64333
221	426.199	1428	4.76
222	428.241	1363	4.54333
223	430.283	1340	4.46667
224	432.325	1357	4.52333
225	434.367	1325	4.41667
226	436.409	1363	4.54333
227	438.452	1330	4.43333
228	440.494	1302	4.34
229	442.536	1316	4.38667
230	444.578	1306	4.35333
231	446.620	1282	4.27333
232	448.662	1326	4.42
233	450.705	1348	4.49333
234	452.747	1333	4.44333
235	454.789	1273	4.24333
236	456.831	1273	4.24333
237	458.873	1311	4.37
238	460.916	1352	4.50667
239	462.958	1295	4.31667
240	465.000	1327	4.42333
241	467.042	1262	4.20667
242	469.084	1251	4.17
243	471.126	1216	4.05333
244	473.169	1293	4.31
245	475.211	1265	4.21667
246	477.253	1301	4.33667
247	479.295	1332	4.44
248	481.337	1265	4.21667
249	483.379	1238	4.12667
250	485.422	1213	4.04333
251	487.464	1280	4.26667
252	489.506	1215	4.05
253	491.548	1212	4.04
254	493.590	1258	4.19333
255	495.632	1194	3.98
256	497.675	1232	4.10667
257	499.717	1248	4.16
258	501.759	1226	4.08667
259	503.801	1194	3.98
260	505.843	1256	4.18667
261	507.885	1230	4.1
262	509.928	1243	4.14333
263	511.970	1181	3.93667
264	514.012	1181	3.93667
265	516.054	1188	3.96
266	518.096	1252	4.17333
267	520.138	1211	4.03667
268	522.181	1232	4.10667
269	524.223	1208	4.02667
270	526.265	1265	4.21667
271	528.307	1229	4.09667
272	530.349	1176	3.92
273	532.391	1233	4.11
274	534.434	1165	3.88333
275	536.476	1205	4.01667
276	538.518	1202	4.00667
277	540.560	1239	4.13
278	542.602	1206	4.02
279	544.644	1240	4.13333
280	546.687	1165	3.88333
281	548.729	1133	3.77667
282	550.771	1116	3.72
283	552.813	1233	4.11
284	554.855	1168	3.89333
285	556.897	1247	4.15667
286	558.940	1282	4.27333
287	560.982	1149	3.83
288	563.024	1209	4.03
289	565.066	1229	4.09667
290	567.108	1176	3.92
291	569.150	1213	4.04333
292	571.193	1170	3.9
293	573.235	1170	3.9
294	575.277	1214	4.04667
295	577.319	1257	4.19
296	579.361	1140	3.8
297	581.403	1191	3.97
298	583.446	1186	3.95333
299	585.488	1207	4.02333
